GEO_ID,,S1101_C01_001E,S1101_C01_002E
GEO ID,FIPS,Total households,Average household size
1400000U,6037190302,1217,2.1
1400000U,6037190303,1564,1.54
1400000U,6037190401,1584,1.77
1400000U,6037190402,1161,1.88
1400000U,6037190510,1712,2.3
1400000U,6037190520,1527,2.35
1400000U,6037190701,767,1.84
1400000U,6037190702,720,1.6
1400000U,6037190801,1338,1.73
1400000U,6037190802,1528,1.77
1400000U,6037190901,1227,2.64
1400000U,6037190902,1608,2.32
1400000U,6037191000,3071,1.64
1400000U,6037191110,1005,1.89
1400000U,6037191120,1524,2.41
1400000U,6037191201,1668,2.02
1400000U,6037191203,994,2.17
1400000U,6037191204,695,2.12
1400000U,6037191301,932,2.12
1400000U,6037191302,836,2.02
1400000U,6037191410,1341,2.34
1400000U,6037191420,1095,2.99
1400000U,6037191500,1815,3.09
1400000U,6037191610,1417,2.77
1400000U,6037191620,912,2.92
1400000U,6037191710,1229,2.17
1400000U,6037191720,1407,2.48
1400000U,6037191810,1194,2.35
1400000U,6037191820,1935,1.96
1400000U,6037191901,2203,1.78
1400000U,6037191902,1553,1.82
1400000U,6037192001,1056,1.73
1400000U,6037192002,1310,1.91
1400000U,6037192300,1429,1.81
1400000U,6037192410,1891,2.15
1400000U,6037192420,1379,2.57
1400000U,6037192510,1234,2.99
1400000U,6037192520,1574,3.25
1400000U,6037192610,1469,2.65
1400000U,6037192620,1181,2.96
1400000U,6037192700,1258,2.26
1400000U,6037194101,1747,1.8
1400000U,6037194102,1240,2.01
1400000U,6037194200,1663,2.07
1400000U,6037194300,1385,1.98
1400000U,6037194401,1442,1.71
1400000U,6037194402,2119,1.44
1400000U,6037194500,990,1.96
1400000U,6037195100,2177,2.17
1400000U,6037195201,1557,1.73
1400000U,6037195202,1453,2.29
1400000U,6037195300,1449,1.99
1400000U,6037195400,2316,1.81
1400000U,6037195500,2387,2.1
1400000U,6037195600,1180,2.26
1400000U,6037195710,1525,2.47
1400000U,6037195720,845,2.1
1400000U,6037195802,1075,2.75
1400000U,6037195803,1046,2.16
1400000U,6037195804,1115,2.23
1400000U,6037195901,1111,2.14
1400000U,6037195902,974,1.83
1400000U,6037195903,880,2.18
1400000U,6037197200,1193,3.02
1400000U,6037197300,1759,2.18
1400000U,6037197410,1763,2.11
1400000U,6037197420,1615,2.39
1400000U,6037197500,1746,2.22
1400000U,6037197600,861,2.46
1400000U,6037197700,2108,2.35
1400000U,6037199001,676,3.28
1400000U,6037199002,1065,2.45
1400000U,6037199110,777,3.16
1400000U,6037199120,1089,3.36
1400000U,6037199201,1116,3.17
1400000U,6037199202,898,2.88
