"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US06037132001","Census Tract 1320.01; Los Angeles County; California","3335",
"1400000US06037132002","Census Tract 1320.02; Los Angeles County; California","3193",
"1400000US06037132101","Census Tract 1321.01; Los Angeles County; California","4330",
"1400000US06037132102","Census Tract 1321.02; Los Angeles County; California","5618",
"1400000US06037132301","Census Tract 1323.01; Los Angeles County; California","3577",
"1400000US06037132302","Census Tract 1323.02; Los Angeles County; California","3005",
"1400000US06037132501","Census Tract 1325.01; Los Angeles County; California","4357",
"1400000US06037132502","Census Tract 1325.02; Los Angeles County; California","4252",
"1400000US06037132700","Census Tract 1327; Los Angeles County; California","5038",
"1400000US06037132900","Census Tract 1329; Los Angeles County; California","3538",
"1400000US06037133000","Census Tract 1330; Los Angeles County; California","4424",
"1400000US06037133101","Census Tract 1331.01; Los Angeles County; California","2091",
"1400000US06037133102","Census Tract 1331.02; Los Angeles County; California","3376",
"1400000US06037134001","Census Tract 1340.01; Los Angeles County; California","3708",
"1400000US06037134002","Census Tract 1340.02; Los Angeles County; California","3483",
"1400000US06037134101","Census Tract 1341.01; Los Angeles County; California","4991",
"1400000US06037134103","Census Tract 1341.03; Los Angeles County; California","4294",
"1400000US06037134104","Census Tract 1341.04; Los Angeles County; California","4429",
"1400000US06037134201","Census Tract 1342.01; Los Angeles County; California","4271",
"1400000US06037134302","Census Tract 1343.02; Los Angeles County; California","3746",
"1400000US06037134303","Census Tract 1343.03; Los Angeles County; California","5166",
"1400000US06037134304","Census Tract 1343.04; Los Angeles County; California","3001",
"1400000US06037134305","Census Tract 1343.05; Los Angeles County; California","3769",
"1400000US06037134306","Census Tract 1343.06; Los Angeles County; California","3553",
"1400000US06037134421","Census Tract 1344.21; Los Angeles County; California","3851",
"1400000US06037134422","Census Tract 1344.22; Los Angeles County; California","4959",
"1400000US06037134423","Census Tract 1344.23; Los Angeles County; California","3338",
"1400000US06037134424","Census Tract 1344.24; Los Angeles County; California","2862",
"1400000US06037134520","Census Tract 1345.20; Los Angeles County; California","5601",
"1400000US06037134521","Census Tract 1345.21; Los Angeles County; California","2972",
"1400000US06037134522","Census Tract 1345.22; Los Angeles County; California","4015",
"1400000US06037134710","Census Tract 1347.10; Los Angeles County; California","5183",
"1400000US06037134720","Census Tract 1347.20; Los Angeles County; California","5011",
"1400000US06037134801","Census Tract 1348.01; Los Angeles County; California","3177",
"1400000US06037134802","Census Tract 1348.02; Los Angeles County; California","3196",
"1400000US06037134901","Census Tract 1349.01; Los Angeles County; California","3266",
"1400000US06037134904","Census Tract 1349.04; Los Angeles County; California","4368",
"1400000US06037134905","Census Tract 1349.05; Los Angeles County; California","5219",
"1400000US06037134906","Census Tract 1349.06; Los Angeles County; California","3115",
"1400000US06037134907","Census Tract 1349.07; Los Angeles County; California","2953",
"1400000US06037135102","Census Tract 1351.02; Los Angeles County; California","3612",
"1400000US06037135111","Census Tract 1351.11; Los Angeles County; California","3118",
"1400000US06037135113","Census Tract 1351.13; Los Angeles County; California","3240",
"1400000US06037135115","Census Tract 1351.15; Los Angeles County; California","4698",
"1400000US06037135116","Census Tract 1351.16; Los Angeles County; California","1718",
"1400000US06037135201","Census Tract 1352.01; Los Angeles County; California","2592",
"1400000US06037135202","Census Tract 1352.02; Los Angeles County; California","4399",
"1400000US06037135204","Census Tract 1352.04; Los Angeles County; California","4791",
"1400000US06037135205","Census Tract 1352.05; Los Angeles County; California","2342",
"1400000US06037137000","Census Tract 1370; Los Angeles County; California","4754",
"1400000US06037137103","Census Tract 1371.03; Los Angeles County; California","4951",
"1400000US06037137104","Census Tract 1371.04; Los Angeles County; California","2725",
"1400000US06037137202","Census Tract 1372.02; Los Angeles County; California","3588",
"1400000US06037137203","Census Tract 1372.03; Los Angeles County; California","2416",
"1400000US06037137301","Census Tract 1373.01; Los Angeles County; California","2238",
"1400000US06037137302","Census Tract 1373.02; Los Angeles County; California","4341",
"1400000US06037137401","Census Tract 1374.01; Los Angeles County; California","4708",
"1400000US06037137402","Census Tract 1374.02; Los Angeles County; California","5663",
"1400000US06037137501","Census Tract 1375.01; Los Angeles County; California","4662",
"1400000US06037137502","Census Tract 1375.02; Los Angeles County; California","4441",
"1400000US06037137504","Census Tract 1375.04; Los Angeles County; California","1920",
"1400000US06037138000","Census Tract 1380; Los Angeles County; California","4575",
"1400000US06037139001","Census Tract 1390.01; Los Angeles County; California","5125",
"1400000US06037139200","Census Tract 1392; Los Angeles County; California","5519",
"1400000US06037139301","Census Tract 1393.01; Los Angeles County; California","4692",
"1400000US06037139302","Census Tract 1393.02; Los Angeles County; California","4734",
"1400000US06037139303","Census Tract 1393.03; Los Angeles County; California","4481",
"1400000US06037139401","Census Tract 1394.01; Los Angeles County; California","2894",
"1400000US06037139402","Census Tract 1394.02; Los Angeles County; California","2782",
"1400000US06037139502","Census Tract 1395.02; Los Angeles County; California","3118",
"1400000US06037139504","Census Tract 1395.04; Los Angeles County; California","3742",
"1400000US06037139505","Census Tract 1395.05; Los Angeles County; California","2565",
"1400000US06037139506","Census Tract 1395.06; Los Angeles County; California","2767",
"1400000US06037139600","Census Tract 1396; Los Angeles County; California","5185",
"1400000US06037139701","Census Tract 1397.01; Los Angeles County; California","5438",
"1400000US06037139703","Census Tract 1397.03; Los Angeles County; California","2693",
"1400000US06037139704","Census Tract 1397.04; Los Angeles County; California","2624",
"1400000US06037139705","Census Tract 1397.05; Los Angeles County; California","3643",
"1400000US06037139801","Census Tract 1398.01; Los Angeles County; California","3523",
"1400000US06037139802","Census Tract 1398.02; Los Angeles County; California","3858",
"1400000US06037141101","Census Tract 1411.01; Los Angeles County; California","4903",
"1400000US06037141102","Census Tract 1411.02; Los Angeles County; California","3023",
"1400000US06037141201","Census Tract 1412.01; Los Angeles County; California","4289",
"1400000US06037141202","Census Tract 1412.02; Los Angeles County; California","2922",
"1400000US06037141303","Census Tract 1413.03; Los Angeles County; California","3191",
"1400000US06037141304","Census Tract 1413.04; Los Angeles County; California","3015",
"1400000US06037141305","Census Tract 1413.05; Los Angeles County; California","2986",
"1400000US06037141306","Census Tract 1413.06; Los Angeles County; California","2974",
"1400000US06037141400","Census Tract 1414; Los Angeles County; California","4705",
"1400000US06037141500","Census Tract 1415; Los Angeles County; California","3089",
"1400000US06037141600","Census Tract 1416; Los Angeles County; California","4088",
"1400000US06037141700","Census Tract 1417; Los Angeles County; California","3096",
"1400000US06037143101","Census Tract 1431.01; Los Angeles County; California","2142",
"1400000US06037143102","Census Tract 1431.02; Los Angeles County; California","2294",
"1400000US06037143200","Census Tract 1432; Los Angeles County; California","4377",
"1400000US06037143301","Census Tract 1433.01; Los Angeles County; California","3236",
"1400000US06037143302","Census Tract 1433.02; Los Angeles County; California","3367",
"1400000US06037143401","Census Tract 1434.01; Los Angeles County; California","4632",
"1400000US06037143402","Census Tract 1434.02; Los Angeles County; California","1791",
"1400000US06037143500","Census Tract 1435; Los Angeles County; California","5197",
"1400000US06037143602","Census Tract 1436.02; Los Angeles County; California","4740",
"1400000US06037143603","Census Tract 1436.03; Los Angeles County; California","2482",
"1400000US06037143605","Census Tract 1436.05; Los Angeles County; California","1945",
"1400000US06037143606","Census Tract 1436.06; Los Angeles County; California","1581",
"1400000US06037143700","Census Tract 1437; Los Angeles County; California","3800",
"1400000US06037143801","Census Tract 1438.01; Los Angeles County; California","2926",
"1400000US06037143802","Census Tract 1438.02; Los Angeles County; California","2298",
"1400000US06037143901","Census Tract 1439.01; Los Angeles County; California","4319",
"1400000US06037143902","Census Tract 1439.02; Los Angeles County; California","2979",
"1400000US06037181000","Census Tract 1810; Los Angeles County; California","6132",
"1400000US06037181300","Census Tract 1813; Los Angeles County; California","3613",
"1400000US06037181400","Census Tract 1814; Los Angeles County; California","4134",
"1400000US06037181500","Census Tract 1815; Los Angeles County; California","3653",
"1400000US06037181600","Census Tract 1816; Los Angeles County; California","4247",
"1400000US06037183101","Census Tract 1831.01; Los Angeles County; California","3659",
"1400000US06037183103","Census Tract 1831.03; Los Angeles County; California","3839",
